,Short Percent of Float,Short % Increase / Decrease,% Owned by Insiders,% Owned by Institutions,Trading Volume - Today,Trading Volume - Average,Short Interest Ratio (Days To Cover)
APH,NAN,7.0,1.48,95.65,1056722.0,1056722.0,1.5
ADI,8.26,8.0,0.32,94.55,2155724.0,2155724.0,11.4
ANSS,NAN,-1.0,0.96,94.89,305859.0,305859.0,3.4
ANTM,1.16,-5.0,0.17,93.98,1476118.0,1476118.0,2.1
AON,9.97,5.0,NAN,NAN,2110620.0,2110620.0,13.8
AOS,2.95,17.0,0.93,96.53,931039.0,931039.0,3.7
APA,NAN,1.0,0.27,85.69,7556631.0,7556631.0,1.6
AAPL,NAN,10.0,0.07,59.66,74934446.0,74934446.0,0.9
AMAT,1.37,18.0,0.41,83.07,6330360.0,6330360.0,1.7
APTV,NAN,9.0,NAN,NAN,1943244.0,1943244.0,2.4
ADM,0.75,-19.0,0.39,82.13,2577308.0,2577308.0,1.6
ANET,4.72,4.0,28.3,65.24,511076.0,511076.0,3.7
AJG,NAN,15.0,1.03,85.67,798578.0,798578.0,1.9
AIZ,2.9,2.0,0.85,97.87,552144.0,552144.0,4.4
T,1.87,3.0,0.08,53.53,24049155.0,24049155.0,3.1
ATO,NAN,-3.0,0.97,89.27,686033.0,686033.0,5.2
ADSK,0.98,2.0,0.17,93.34,1082910.0,1082910.0,1.5
ADP,1.02,-3.0,0.1,82.23,1528333.0,1528333.0,2.4
AZO,2.16,10.0,0.34,95.06,227591.0,227591.0,1.8
AVB,1.95,4.0,0.27,93.95,1118374.0,1118374.0,2.6
AVY,0.68,3.0,0.64,91.96,666767.0,666767.0,1.2
BKR,6.99,0.0,NAN,NAN,4781083.0,4781083.0,6.3
BLL,2.45,-2.0,0.57,86.19,2381350.0,2381350.0,4.7
BAC,0.94,11.0,0.1,71.1,41797833.0,41797833.0,1.4
BK,0.82,-2.0,0.24,85.07,3503288.0,3503288.0,1.3
BAX,1.42,2.0,0.14,88.73,1802741.0,1802741.0,2.4
BDX,NAN,9.0,0.66,86.95,1519790.0,1519790.0,1.6
BBY,2.7,-1.0,11.4,80.8,1631879.0,1631879.0,2.0
BIO,2.91,-3.0,14.36,79.6,212778.0,212778.0,2.7
BIIB,2.37,-2.0,0.63,87.89,1057850.0,1057850.0,2.1
BLK,1.3,15.0,1.22,87.46,474278.0,474278.0,2.9
BA,NAN,3.0,0.12,52.89,9479157.0,9479157.0,0.6
BKNG,2.41,-9.0,0.35,96.27,237613.0,237613.0,2.6
